job,model,dataset,src_layer,tgt_layer,sdc_group,rows,semantic_groups,finite_rows,non_finite_rows,non_finite_rate,mean_cos_sim,median_cos_sim,std_cos_sim,q25_cos_sim,q75_cos_sim,mean_ci95_low,mean_ci95_high,evidence
internvl3_lingoqa,InternVL3-8B,LingoQA,5,6,non_significant_sdc,1293,70,1293,0,0.0,0.8407250757272263,0.8485393673181534,0.05809293490580751,0.8012371808290482,0.8896517902612686,0.8267638588441588,0.8546803727065081,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,5,6,significant_sdc,433,75,376,57,0.13163972286374137,0.571269293032101,0.6309116035699844,0.2322785086243486,0.6200911197811365,0.6504996120929718,0.5469285214352445,0.5943458343856092,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,6,7,non_sdc,5762,75,5762,0,0.0,0.7417110944828177,0.7532022148370743,0.1033835302640648,0.6775080561637878,0.8104726523160934,0.7185685062655763,0.7641478667342685,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,6,7,non_significant_sdc,1293,70,1293,0,0.0,0.7175506917199398,0.7421738505363464,0.09854113765284644,0.6644308120012283,0.7945052683353424,0.6927995004561595,0.7418114184883716,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,6,7,significant_sdc,433,75,366,67,0.15473441108545039,0.29650990760890267,0.30835396237671375,0.1084722471184147,0.2775058411061764,0.34135743975639343,0.2833898297651741,0.30961509132946075,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,7,8,non_sdc,5762,75,5762,0,0.0,0.7159497762387906,0.7164919078350067,0.10341086839392734,0.6526376157999039,0.8043664246797562,0.6924737489554856,0.7387294805366397,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,7,8,non_significant_sdc,1293,70,1293,0,0.0,0.7006686396352307,0.6978607922792435,0.0929527144996935,0.6528404802083969,0.7825280129909515,0.6782868035670732,0.7225982650344209,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,7,8,significant_sdc,433,75,360,73,0.1685912240184757,0.36192512339394955,0.42144665867090225,0.17739843897810192,0.3792630825191736,0.4455920234322548,0.3410046805377641,0.38164428370878417,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,8,9,non_sdc,5762,75,5762,0,0.0,0.7860585548990936,0.7913250103592873,0.07228570953915911,0.7509885393083096,0.8289201855659485,0.7701642220129579,0.8015690048670144,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,8,9,non_significant_sdc,1293,70,1293,0,0.0,0.7681084724009175,0.78065986931324,0.06925876216527999,0.7233937978744507,0.8196061253547668,0.7511325145218104,0.7844127725831066,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,8,9,significant_sdc,433,75,344,89,0.20554272517321015,0.5279266611276313,0.5420367568731308,0.134706359502897,0.484447842463851,0.5968722961843014,0.5063567458204549,0.5491463828515568,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,9,10,non_sdc,5762,75,5762,0,0.0,0.7777610913498333,0.7867434173822403,0.07043974708939749,0.740465871989727,0.8208141624927521,0.7619269168048746,0.7930859081690208,adequate
