metric,src_layer,tgt_layer,sdc_group,task_count,macro_mean_value,task_std_value
l2_distance,14,15,non_significant_sdc,9,1.347756111539016,0.3515410586003352
l2_distance,14,15,significant_sdc,9,905324226055.359,2426136477936.9326
l2_distance,15,16,non_sdc,9,1.3407163348626843,0.41403813574462456
l2_distance,15,16,non_significant_sdc,9,1.366409702393289,0.36501680308280243
l2_distance,15,16,significant_sdc,9,113389835155203.44,337058210143982.7
l2_distance,16,17,non_sdc,9,1.4055772926372545,0.39008444506977685
l2_distance,16,17,non_significant_sdc,9,1.4244814159534451,0.35030649093987964
l2_distance,16,17,significant_sdc,9,112465334385282.64,337396003155682.6
l2_distance,17,18,non_sdc,9,1.648394648265746,0.6769127035651267
l2_distance,17,18,non_significant_sdc,9,1.71778723981712,0.6129769642546552
l2_distance,17,18,significant_sdc,9,7494127638.013256,22482382743.81451
l2_distance,18,19,non_sdc,9,1.955965884853912,0.8717951643284682
l2_distance,18,19,non_significant_sdc,9,2.0029542965455933,0.8194359224621813
l2_distance,18,19,significant_sdc,9,214865184644.1592,612727890673.4976
l2_distance,19,20,non_sdc,9,1.8772303235049952,0.8235131694122166
l2_distance,19,20,non_significant_sdc,9,1.9080571370570882,0.7864894138826698
l2_distance,19,20,significant_sdc,9,1084170135783.2971,3214446948725.2295
l2_distance,20,21,non_sdc,9,2.455194717051532,1.2721654360436465
l2_distance,20,21,non_significant_sdc,9,2.469634217802444,1.2493979925104561
l2_distance,20,21,significant_sdc,9,1948846374929477.0,5835937623823162.0
l2_distance,21,22,non_sdc,9,2.3444885381618867,1.2457549640655317
l2_distance,21,22,non_significant_sdc,9,2.346512596779453,1.1380944132440634
l2_distance,21,22,significant_sdc,9,1987637598945830.5,5952312677944444.0
l2_distance,22,23,non_sdc,9,2.735974958765876,1.4976008950832471
l2_distance,22,23,non_significant_sdc,9,2.7826034346023283,1.4402245128065778
l2_distance,22,23,significant_sdc,9,2922025614930.908,3653457343351.238
l2_distance,23,24,non_sdc,9,2.737356294139034,1.4684274520249239
l2_distance,23,24,non_significant_sdc,9,2.789550977244165,1.4284600451708191
l2_distance,23,24,significant_sdc,9,3570298353191.7534,4345216026759.481
