job,model,dataset,metric,src_layer,tgt_layer,sdc_group,rows,finite_rows,non_finite_rows,non_finite_rate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,9,10,significant_sdc,224,167,57,0.2544642857142857
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,10,11,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,10,11,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,10,11,significant_sdc,224,166,58,0.2589285714285714
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,11,12,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,11,12,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,11,12,significant_sdc,224,166,58,0.2589285714285714
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,12,13,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,12,13,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,12,13,significant_sdc,224,160,64,0.2857142857142857
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,13,14,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,13,14,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,13,14,significant_sdc,224,161,63,0.28125
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,14,15,non_sdc,5540,5540,0,0.0
