job,model,dataset,metric,src_layer,tgt_layer,sdc_group,rows,semantic_groups,finite_rows,non_finite_rows,non_finite_rate,mean_value,median_value,std_value,q25_value,q75_value,mean_ci95_low,mean_ci95_high,evidence
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,8,9,non_significant_sdc,1685,313,1685,0,0.0,0.8131214017268813,0.8212927239281791,0.05295699569060921,0.7886066599325701,0.8498705077171326,0.8066310202759659,0.8191743555935639,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,8,9,significant_sdc,436,229,345,91,0.20871559633027525,0.2398879338424021,0.18922368786772903,0.14174589405992527,0.17470284520971532,0.22386099899909934,0.21962770563642983,0.262376153395659,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,9,10,non_sdc,5364,375,5364,0,0.0,0.8301477962543481,0.8328960041205088,0.04170578506794685,0.8028659462928772,0.8568412140011787,0.8266547311379039,0.8335210249114602,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,9,10,non_significant_sdc,1685,313,1685,0,0.0,0.8220083938921895,0.8259002891453829,0.04272388833510914,0.7988617926836014,0.8488020720305266,0.817043748776085,0.8266166911643891,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,9,10,significant_sdc,436,226,336,100,0.22935779816513757,0.24081139882445268,0.21769431088956037,0.12563739143437092,0.20808155249272076,0.22721693925179387,0.22396229389799788,0.2594970013506243,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,10,11,non_sdc,5364,375,5364,0,0.0,0.8014099908752504,0.8084023427963257,0.05664790805855675,0.7652018252346251,0.8402745247903195,0.7969954974894105,0.805813228590296,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,10,11,non_significant_sdc,1685,313,1685,0,0.0,0.7914782201340279,0.7990565625104037,0.05798975792551987,0.7544951054357714,0.8312672313890959,0.785044446848979,0.797481167543362,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,10,11,significant_sdc,436,223,326,110,0.2522935779816514,-0.023272443631986463,-0.07940672158871834,0.17822058924686573,-0.0826450762034831,-0.07341274086324193,-0.049805515508827794,0.005910472643024434,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,11,12,non_sdc,5364,375,5364,0,0.0,0.8115035466502815,0.8204954649335232,0.05589351886404064,0.7807451145026995,0.8481301032006741,0.807020581463044,0.8158706491603872,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,11,12,non_significant_sdc,1685,313,1685,0,0.0,0.804479783963682,0.8147828387362617,0.05865437446791143,0.7751606213194984,0.8413317664103075,0.7975721203133324,0.8105945046330338,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,11,12,significant_sdc,436,214,305,131,0.3004587155963303,0.06156388740008021,0.02167535212119015,0.15854049719164579,0.014242979298744882,0.029441016669176062,0.03775422921877177,0.08783653029670677,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,12,13,non_sdc,5364,375,5364,0,0.0,0.810252804914979,0.8191526286843894,0.053542427527989545,0.7827431119301103,0.8463520175569197,0.8055452607230116,0.8147644781974822,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,12,13,non_significant_sdc,1685,313,1685,0,0.0,0.8006365786703672,0.8107031912639223,0.06165843459706396,0.7746625672216001,0.8400229905780993,0.7926944986802047,0.8075282485090327,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,12,13,significant_sdc,436,208,294,142,0.32568807339449546,0.21568677887963889,0.21422525946697107,0.1329157451889601,0.20188621682951188,0.2239185758315179,0.1966802121477973,0.2347672268794853,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,13,14,non_sdc,5364,375,5364,0,0.0,0.8298101840210437,0.8368893206119538,0.04800583501255393,0.8087526222730016,0.862704176683175,0.8256639571605863,0.8337724173185898,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,13,14,non_significant_sdc,1685,313,1685,0,0.0,0.8243747234980885,0.8344227955454872,0.052864988815891065,0.803245197082388,0.8577984981238842,0.8177447063111776,0.8302099567104282,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,13,14,significant_sdc,436,205,288,148,0.33944954128440363,0.16122995538332693,0.19006699878646405,0.19761701489334565,0.1719544233032027,0.203696483518092,0.1356001414877357,0.18666491307085872,adequate
