job,model,dataset,metric,src_layer,tgt_layer,sdc_group,rows,semantic_groups,finite_rows,non_finite_rows,non_finite_rate,mean_value,median_value,std_value,q25_value,q75_value,mean_ci95_low,mean_ci95_high,evidence
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,1,2,non_sdc,5906,75,5906,0,0.0,0.010428897446974379,0.010069905599165294,0.0031497586145838893,0.007986939144872227,0.012403838694668733,0.009862541222477615,0.01101371221894714,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,1,2,non_significant_sdc,1327,73,1327,0,0.0,0.010387611040311828,0.010031301370223187,0.0027289259863507386,0.008391565981083642,0.012103402214124799,0.00982353219287504,0.010935173151612384,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,1,2,significant_sdc,264,66,214,50,0.18939393939393945,2.6055791536434672e+28,0.010641151177142524,3.811633696124148e+29,0.006738673325399964,0.014001118425488929,0.009542833048378241,9.345149813626289e+28,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,2,3,non_sdc,5906,75,5906,0,0.0,0.011493730794082247,0.011122642637201353,0.0030058317248176122,0.009490100152941203,0.013234306871891022,0.01095677573252719,0.012036349004164953,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,2,3,non_significant_sdc,1327,73,1327,0,0.0,0.011206057092101405,0.010725410018280587,0.0029473046948346546,0.009540137717263605,0.012371940393759696,0.010581686294325012,0.011909973939878997,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,2,3,significant_sdc,264,67,212,52,0.19696969696969702,3.2048162030527076e+27,0.020423151628703486,4.319505196980873e+28,0.011692013419815338,0.023152998078386396,0.01870217347146972,1.0616040207471255e+28,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,3,4,non_sdc,5906,75,5906,0,0.0,0.014114557250405913,0.013601187017879315,0.004589409027079901,0.010689817187085282,0.01703971535122643,0.013248707764155413,0.01499019064277109,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,3,4,non_significant_sdc,1327,73,1327,0,0.0,0.014396935771667846,0.01337758246033142,0.0048216315654466034,0.011199105099881855,0.016830832149614307,0.013311689968197534,0.015577382666880059,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,3,4,significant_sdc,264,67,209,55,0.20833333333333337,4.630275871898768e+28,0.048843149190806616,6.693337818166525e+29,0.017558760785808165,0.051170225198171576,0.03891879133401981,1.6591964924988628e+29,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,4,5,non_sdc,5906,75,5906,0,0.0,0.013002684948034485,0.012441059379489161,0.0031994211491920754,0.010636260181975861,0.014709166597805008,0.012420257538658266,0.013602766890064918,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,4,5,non_significant_sdc,1327,73,1327,0,0.0,0.01316851408954472,0.012581128906458617,0.004381074874231676,0.010921771547550129,0.015071190327351346,0.01244105938705931,0.013942707243823797,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,4,5,significant_sdc,264,67,205,59,0.2234848484848485,3.69370102772594e+29,0.010272119360576783,3.7106728024761175e+30,0.007169529538307535,0.01350281418611606,3.1051226392638083e+28,1.0119357373121253e+30,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,5,6,non_sdc,5906,75,5906,0,0.0,0.01550285005688302,0.015037333563668653,0.00405263427809952,0.012757359615837535,0.01788666240394204,0.014768722172324337,0.01627240186376313,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,5,6,non_significant_sdc,1327,73,1327,0,0.0,0.016088761535205283,0.015511871470759312,0.0046057611360362976,0.012940535321831703,0.01863676759316341,0.015090288090694522,0.0170749447585523,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,5,6,significant_sdc,264,67,202,62,0.23484848484848486,1.2598784325004717e+29,0.02811450770419395,1.790623690967281e+30,0.017982729120246534,0.03608925563988884,0.02778586971143247,4.3878524718119875e+29,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,6,7,non_sdc,5906,75,5906,0,0.0,0.01827586591271735,0.01751236739705296,0.005339607365195123,0.014809102155542112,0.021884711381668847,0.017360011370687725,0.019247481319758765,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,6,7,non_significant_sdc,1327,73,1327,0,0.0,0.017965946921886824,0.01735892189967939,0.005006871459105339,0.014655665038643698,0.020620828310615923,0.016953454669103658,0.01902747765938159,adequate
