job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,strict_finite_reference_feature_count,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
llava15_lingoqa,llava15,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,full,0.5035026669502258,5,22762,4070,5830,5830,36,140,145,120,25,20,5665,0.8275862068965517,0.8571428571428571,0.0043936731107205,0.8421052631578947
llava15_lingoqa,llava15,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,strict_finite,0.5035026669502258,5,22762,4070,5830,5719,36,29,34,9,25,20,5665,0.2647058823529412,0.3103448275862069,0.0043936731107205,0.2857142857142857
llava15_vqav2,llava15,vqav2,without_pair_6_7,layer_pair,"(6,7)",24,full,0.8173969388008118,522,22394,3806,6071,6094,36,124,108,107,1,17,5969,0.9907407407407408,0.8629032258064516,0.0001675041876046,0.9224137931034484
llava15_vqav2,llava15,vqav2,without_pair_6_7,layer_pair,"(6,7)",24,strict_finite,0.8173969388008118,522,22394,3806,6071,5993,36,23,7,6,1,17,5969,0.8571428571428571,0.2608695652173913,0.0001675041876046,0.4
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_pair_6_7,layer_pair,"(6,7)",24,full,0.9718806743621826,537,22831,4041,5779,5772,36,169,160,158,2,11,5601,0.9875,0.9349112426035504,0.0003569516330537,0.96048632218845
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_pair_6_7,layer_pair,"(6,7)",24,strict_finite,0.9718806743621826,537,22831,4041,5779,5659,36,56,47,45,2,11,5601,0.9574468085106383,0.8035714285714286,0.0003569516330537,0.8737864077669902
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,full,0.7187524437904358,131,22745,4067,5830,5824,36,179,144,142,2,37,5643,0.9861111111111112,0.7932960893854749,0.0003542958370239,0.8792569659442725
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,strict_finite,0.7187524437904358,131,22745,4067,5830,5732,36,87,52,50,2,37,5643,0.9615384615384616,0.5747126436781609,0.0003542958370239,0.7194244604316546
qwen25_vl_vqav2,qwen25_vl,vqav2,without_pair_6_7,layer_pair,"(6,7)",24,full,0.6064266562461853,403,22380,3802,6057,6084,36,190,142,137,5,53,5889,0.9647887323943662,0.7210526315789474,0.000848320325755,0.8253012048192772
qwen25_vl_vqav2,qwen25_vl,vqav2,without_pair_6_7,layer_pair,"(6,7)",24,strict_finite,0.6064266562461853,403,22380,3802,6057,5993,36,99,51,46,5,53,5889,0.9019607843137256,0.4646464646464646,0.000848320325755,0.6133333333333333
internvl3_earthvqa,internvl3,earthvqa,without_cos_sim,metric,cos_sim,27,full,0.7469381093978882,475,22824,4039,5764,5773,36,311,297,295,2,16,5460,0.9932659932659932,0.9485530546623794,0.0003661662394727,0.9703947368421052
internvl3_earthvqa,internvl3,earthvqa,without_cos_sim,metric,cos_sim,27,strict_finite,0.7469381093978882,475,22824,4039,5764,5551,36,89,75,73,2,16,5460,0.9733333333333334,0.8202247191011236,0.0003661662394727,0.8902439024390244
