scope_type,scope,model,dataset,bucket_order,deviation_bucket,samples,sample_share_pct,significant_sdc,non_significant_sdc,significant_global_share_pct,non_significant_global_share_pct,significant_rate_pct,non_significant_rate_pct,significant_capture_pct,non_significant_distribution_pct
job,llava15_earthvqa,LLaVA-1.5-7B,EarthVQA,0,"[0,1]",40195,80.39482368942137,23,40172,0.04600276016560994,80.34882092925575,0.05722104739395447,99.94277895260605,1.9658119658119657,82.27415159645278
job,llava15_earthvqa,LLaVA-1.5-7B,EarthVQA,1,"(1,1e6]",8154,16.308978538712324,111,8043,0.22201332079924796,16.086965217913075,1.3612950699043413,98.63870493009566,9.487179487179487,16.472443525098818
job,llava15_earthvqa,LLaVA-1.5-7B,EarthVQA,2,>1e6,1179,2.3581414884893093,577,602,1.1540692441546492,1.20407224433466,48.93977947413062,51.06022052586938,49.31623931623932,1.2329244065783276
job,llava15_earthvqa,LLaVA-1.5-7B,EarthVQA,3,non_finite,469,0.9380562833770026,459,10,0.9180550833049983,0.02000120007200432,97.86780383795309,2.1321961620469083,39.23076923076923,0.020480471870071886
job,llava15_lingoqa,LLaVA-1.5-7B,LingoQA,0,"[0,1]",40123,80.26526366327919,44,40079,0.0880211250700168,80.17724253820917,0.10966278693018967,99.89033721306981,3.580146460537022,82.19815828872619
job,llava15_lingoqa,LLaVA-1.5-7B,LingoQA,1,"(1,1e6]",8200,16.403936944866768,130,8070,0.2600624149795951,16.143874529887174,1.5853658536585367,98.41463414634147,10.577705451586656,16.55079062326955
job,llava15_lingoqa,LLaVA-1.5-7B,LingoQA,2,>1e6,1184,2.3685684564295433,589,595,1.1782827878690887,1.1902856685604546,49.74662162162162,50.25337837837838,47.92514239218877,1.2202875366598986
job,llava15_lingoqa,LLaVA-1.5-7B,LingoQA,3,non_finite,481,0.9622309354245019,466,15,0.932223733696087,0.03000720172841482,96.88149688149689,3.1185031185031185,37.91700569568755,0.030763551344367195
job,llava15_vqav2,LLaVA-1.5-7B,VQAv2,0,"[0,1]",40146,80.29360587211744,47,40099,0.09400188003760075,80.19960399207984,0.11707268470084192,99.88292731529916,4.055220017256255,82.10278460278461
job,llava15_vqav2,LLaVA-1.5-7B,VQAv2,1,"(1,1e6]",8207,16.41432828656573,80,8127,0.1600032000640013,16.25432508650173,0.9747776288534178,99.02522237114658,6.9025021570319245,16.64004914004914
job,llava15_vqav2,LLaVA-1.5-7B,VQAv2,2,>1e6,1187,2.374047480949619,583,604,1.1660233204664092,1.2080241604832096,49.11541701769166,50.88458298230834,50.30198446937015,1.2366912366912366
job,llava15_vqav2,LLaVA-1.5-7B,VQAv2,3,non_finite,459,0.9180183603672073,449,10,0.8980179603592072,0.02000040000800016,97.82135076252723,2.178649237472767,38.740293356341674,0.020475020475020474
